"","predictions"
"1",0.254584393156401
"2",0.174115542255116
"3",-0.0269123351893714
"4",0.115952497693098
"5",0.693199985891
"6",0.236032078403166
"7",0.215496414334815
"8",-0.0168190997981362
"9",0.104227877786458
"10",-0.172256351154952
"11",0.447913797403208
"12",0.170373540023471
"13",-0.00675045464549004
"14",0.0437345889887446
"15",0.119378837006218
"16",0.0443953221246494
"17",0.156872333329785
"18",0.102679293655654
"19",0.28996588363347
"20",0.564659960783612
"21",-0.0791087157828915
"22",0.279189476834861
"23",0.0261781500570901
"24",0.249077261880126
"25",0.0909631154502339
"26",0.455957574492158
"27",0.473994207549717
"28",0.0831962504711833
"29",0.0707366740434217
"30",0.142359467872625
"31",0.232000420829381
"32",0.18604279615257
"33",0.0266766737178157
"34",-0.114589408801534
"35",0.0540578858241112
"36",0.472921511231789
"37",0.306375462026797
"38",0.0741945635316681
"39",0.195114940290414
"40",-0.0100461861947215
"41",-0.0975049160483552
"42",0.286957802328285
"43",0.685685280021349
"44",-0.0669176907549728
"45",0.0803872990370411
"46",0.0830236405368511
"47",-0.00159968774209506
"48",0.13382342944458
"49",0.0579972337657924
"50",0.299521712147089
"51",0.0630250164835205
"52",0.0143877457791341
"53",-0.100171318398538
"54",-0.067842192022198
"55",0.00908635336843549
"56",0.28237350629313
"57",0.579376423217295
"58",0.136999349927677
"59",0.0114783177540412
"60",-0.00895598321685392
"61",-0.0963566257626596
"62",0.0302346057965622
"63",0.0704450201184936
"64",0.506210050448058
"65",-0.139693430200896
"66",0.0212179458103909
"67",0.0285284217403916
"68",0.599359009486013
"69",0.0337455743391248
"70",0.385295883127534
"71",0.0294652703026122
"72",0.028703734243872
"73",-0.154205222843864
"74",-0.0173004623078142
"75",0.0705977477057853
"76",-0.693830638949962
"77",0.639297033789246
"78",0.0851088475840175
"79",-0.228827014904706
"80",0.0624002723198848
"81",-0.00971390182715454
"82",0.285253824235784
"83",0.00132744164036878
"84",-0.00914942380849224
"85",0.0790628677669992
"86",0.000100783361880635
"87",-0.263437752511291
"88",0.128299858831366
"89",0.265585277880233
"90",-0.122045417998306
"91",0.270215522761101
"92",0.386486155090976
